contents_id	contents_name	raw_events	uniq_events	uniq_users	first_ts	last_ts
9023effe3c16b0477df9b93e26d57e2c	NEW HORIZON 2	83899	42017	115	2020-04-09 04:31:50.000	2023-07-13 02:31:50.000
a1f69f6000f7a8b5883b7134fcf8d558	R6_3年夏休みの演習課題解答	83268	41891	123	2024-07-12 00:59:22.000	2025-02-28 08:39:31.000
db8e1af0cb3aca1ae2d001862420452986	未来へひろがる数学2	83361	41681	23	2019-05-09 01:06:06.000	2023-04-27 04:16:24.000
36452e720502e4da486d2f9f6b48a7bb	改［STEP中3］第1章 式の計算	68198	41467	343	2021-06-30 04:09:22.000	2025-11-17 08:48:00.000
ba2f0015122a5955f8b3a50240fb91b2	未来へひろがる数学1	81300	41291	54	2021-04-05 08:29:14.000	2022-09-29 04:20:21.876
22722a343513ed45f14905eb07621686	2020中3数学臨時休校期間中の課題1問題	82082	41041	36	2020-04-08 10:18:12.000	2020-12-01 12:35:48.000
20c8b2aa5b567ae19224040bc52b36f1	0530図形の調べ方「角度演習２」	40418	40416	120	2023-05-29 21:07:10.000	2024-11-13 00:43:51.000
d27b95cac4c27feb850aaa4070cc4675	Vintage 4択問題	40098	40098	209	2022-11-02 06:15:55.052	2023-07-03 00:45:17.000
7a614fd06c325499f1680b9896beedeb64	NEW HORIZON 1	80190	40095	23	2019-05-05 15:21:05.000	2020-06-10 02:38:04.000
a18ad9f9bcd4e260979d102a260fc262	サクセスコーチ 2年（本文）	40281	40047	186	2022-04-19 06:26:30.000	2024-09-25 11:33:15.000
dd14656b73fce3fc005bc64da1926cc4	No.41(0312)タッチペン	79356	40004	102	2025-03-11 06:49:27.000	2025-03-17 23:41:20.000
d8ab1a52f058358b947cdf8261b5e1a2	［STEP中3］第3章 2次方程式	79414	39708	115	2020-05-19 10:17:12.000	2022-08-09 04:05:16.006
59b1deff341edb0b76ace57820cef237	0215自宅学習テスト３	78968	39487	114	2021-02-12 02:59:57.000	2022-02-12 09:27:48.000
7d12b66d3df6af8d429c1a357d8b9e1a	サクシード数Ⅰ_第１章 数と式	78946	39473	43	2019-10-16 06:39:09.000	2020-04-14 02:28:32.000
62ad044325613ca7658d8feded658584	0704_06不等式（性質）	78840	39427	116	2024-07-03 02:15:57.000	2025-04-02 01:35:49.000
4252db6ade40e2522ac46e2e00c5655f	R6.No.８(0902)	78262	39142	120	2024-08-29 03:35:15.000	2025-01-29 02:38:54.000
db8e1af0cb3aca1ae2d001862420452984	未来へひろがる数学2	78254	39127	22	2019-05-09 01:01:05.000	2020-09-18 06:38:13.000
1ac4dbd83735534bcebc28c845dafccd	Level 1_2	78083	39046	151	2024-07-17 11:00:13.000	2026-01-08 00:13:07.000
9cd013fe250ebffc853b386569ab18c0	w3_週末課題WEB  20230210	38800	38800	94	2023-02-08 02:35:22.087	2024-02-29 10:45:23.000
a0608743660c09feb35a28905143a085	不等式3（紙芝居形式）	77531	38776	103	2021-06-28 10:20:35.000	2024-02-11 11:29:45.000
6f67057b6a3671fe882f6d4f27d547be	比例，反比例の利用（身の周りの問題を解決する）	76944	38475	119	2020-09-17 06:09:21.000	2023-02-03 13:14:10.772
db8e1af0cb3aca1ae2d001862420452985	未来へひろがる数学2	76918	38459	23	2019-05-09 01:05:59.000	2020-05-18 11:37:18.000
4ab3564cc099eb3b31a16042f06bd31e	13 面積比	75945	38040	117	2024-04-25 05:50:28.000	2025-02-02 02:09:38.000
65a54865de989d0a6a60a8ad5b07e071	0226「西京の過去問たち」	37915	37876	109	2024-02-21 00:54:03.000	2024-08-23 11:45:51.000
643de7cf7ba769c7466ccbc4adfd7fac	数学8(2-④)	75640	37820	121	2020-05-15 06:31:13.000	2024-07-29 04:08:21.000
f73a9f957962cd73fce51078b5b9614f	[サクシード数II] 第1章 式と証明	70651	37784	295	2021-07-14 03:34:08.000	2024-12-01 12:03:52.000
9380e398ee9bea45b992a3daaa6b7c4d	0205「直交する2直線」	37603	37597	108	2024-01-31 00:38:56.000	2025-02-02 12:35:49.000
5e62d03aec0d17facfc5355dd90d441c	R03夏休みの演習課題プリント(１年)	74841	37543	131	2021-07-16 02:18:34.000	2025-07-18 12:25:04.000
922073b18844540f8fe447c3e93a25b7	0215自宅学習テスト１	74403	37210	119	2021-02-12 02:52:13.000	2022-02-13 02:52:01.000
7a430339c10c642c4b2251756fd1b484	英語４（１－④）	74086	37043	125	2020-05-07 08:43:43.000	2021-04-21 00:56:19.000
246a3c5544feb054f3ea718f61adfa16	0215自宅学習テスト２	74061	37034	113	2021-02-12 02:56:18.000	2023-04-12 04:41:03.000
6fe43269967adbb64ec6149852b5cc3e	0307自宅学習課題	74010	37009	114	2021-03-05 09:33:08.000	2023-08-29 01:10:37.000
1408358fe6a7f9327dd41a5651ac284c	15 折り返し・補助線	73545	36794	121	2024-04-25 05:50:28.000	2025-02-02 02:16:05.000
63923f49e5241343aa7acb6a06a751e789	未来へひろがる数学1	73472	36736	29	2019-05-07 01:31:07.000	2021-02-25 05:46:47.000
6616758da438b02b8d360ad83a5b3d77	未来へひろがる数学1	73303	36658	45	2021-04-05 07:43:04.000	2022-08-12 02:19:40.916
e945de21a1bb5714a0bc8a897ed32e9f	英語８（２－④）	73177	36615	122	2020-05-15 01:51:30.000	2022-10-20 04:45:37.687
d25414405eb37dae1c14b18d6a2cac34	絶対値と不等式＜宿題＞	73216	36608	40	2019-11-01 04:21:07.000	2019-12-03 02:22:06.000
a92c274b8be496fb05d95033552eeddd	［STEP中2］第3章 1次関数	73038	36519	107	2020-04-09 06:13:56.000	2021-04-30 01:41:34.000
ae2a2db40a12ec0131d48acc1218d2ef	改［STEP中2］第1章 式の計算	47235	36491	316	2021-06-07 01:44:53.000	2026-02-12 08:03:14.000
d4ec33c0c23ae3c91764fcc625108a5a	未来へひろがる数学2	72791	36436	45	2021-04-08 01:48:55.000	2022-07-07 05:22:52.000
